name,is a news presenter?,total screen time (in minutes)
michael d cohen,,"7,303"
kayleigh mcenany,,"7,287"
melissa francis,FOXNEWS,"7,248"
suzanne malveaux,CNN,"7,244"
katie pavlich,FOXNEWS,"7,215"
paul gigot,FOXNEWS,"7,168"
pete williams,MSNBC,"7,167"
reince priebus,,"7,130"
dylan ratigan,MSNBC,"7,099"
maria bartiromo,FOXNEWS,"6,974"
jedediah bila,FOXNEWS,"6,972"
pamela brown,CNN,"6,972"
eric swalwell,,"6,851"
erica hill,CNN,"6,826"
julie banderas,FOXNEWS,"6,806"
rosemary church,CNN,"6,768"
jerrold nadler,,"6,763"
peter t king,,"6,744"
jon meacham,,"6,715"
alison kosik,CNN,"6,709"
ezra klein,,"6,707"
juliette kayyem,,"6,624"
christi paul,CNN,"6,622"
anthony s fauci,,"6,614"
kevin mccarthy,,"6,604"
mark levin,FOXNEWS,"6,590"
alan dershowitz,,"6,577"
april ryan,,"6,537"
william kristol,,"6,523"
peter alexander,MSNBC,"6,491"
george w bush,,"6,486"
carl cameron,,"6,462"
david chalian,,"6,462"
michael t flynn,,"6,430"
krystal ball,MSNBC,"6,329"
ryan lizza,,"6,293"
martin savidge,CNN,"6,232"
ben ferguson,,"6,175"
byron york,FOXNEWS,"6,167"
jay carney,,"6,086"
kyra phillips,CNN,"6,045"
jeff lord,,"5,982"
katherine timpf,FOXNEWS,"5,963"
douglas schoen,,"5,962"
ed rendell,,"5,952"
benjamin netanyahu,,"5,946"
richard quest,CNN,"5,942"
peter doocy,FOXNEWS,"5,936"
amy klobuchar,,"5,917"
richard blumenthal,,"5,914"
devin nunes,,"5,886"
tammy bruce,FOXNEWS,"5,870"
trey gowdy,,"5,814"
soledad obrien,CNN,"5,780"
george zimmerman,,"5,741"
scott walker,,"5,730"
sandra smith,FOXNEWS,"5,710"
drew griffin,CNN,"5,660"
darrell issa,,"5,653"
ron paul,,"5,652"
steve schmidt,,"5,625"
luke russert,,"5,605"
jose diaz-balart,MSNBC,"5,581"
ann coulter,,"5,576"
howard dean,,"5,534"
leslie marshall,FOXNEWS,"5,450"
kennedy,,"5,449"
chris coons,,"5,437"
bakari sellers,,"5,368"
charles hurt,,"5,334"
larry king,CNN,"5,332"
joan walsh,,"5,287"
stephen f hayes,,"5,260"
larry sabato,,"5,257"
elijah cummings,,"5,256"
jim jordan,,"5,226"
monica crowley,FOXNEWS,"5,195"
john harwood,,"5,174"
s e cupp,CNN,"5,167"
jeremy bash,,"5,142"
chris van hollen,,"5,131"
ari fleischer,FOXNEWS,"5,124"
josh earnest,,"5,088"
paul manafort,,"5,075"
jonathan alter,,"5,032"
anthony scaramucci,,"5,009"
abby huntsman,"FOXNEWS, MSNBC","4,994"
christiane amanpour,CNN,"4,950"
deborah feyerick,CNN,"4,914"
mike rogers,CNN,"4,896"
frederik pleitgen,CNN,"4,884"
elisabeth hasselbeck,FOXNEWS,"4,883"
john o brennan,,"4,854"
michael bloomberg,,"4,845"
carl bernstein,,"4,816"
eric holder,,"4,803"
pat buchanan,,"4,798"
bernard goldberg,,"4,797"
tim kaine,,"4,794"
jay sekulow,,"4,783"
brett kavanaugh,,"4,781"
nick paton walsh,CNN,"4,741"
eliot spitzer,,"4,736"
douglas brinkley,,"4,730"
dennis miller,,"4,726"
e j dionne,,"4,724"
heather nauert,,"4,724"
harry reid,,"4,718"
marc lamont hill,,"4,679"
mark steyn,,"4,668"
carly fiorina,,"4,663"
isabel gemio,,"4,659"
bill de blasio,,"4,657"
jamie colby,,"4,629"
donna brazile,,"4,618"
angela rye,,"4,599"
kelly odonnell,MSNBC,"4,571"
jessica yellin,CNN,"4,546"
william devane,,"4,543"
rick perry,,"4,539"
mary katharine ham,,"4,528"
claire mccaskill,,"4,524"
kimberley strassel,FOXNEWS,"4,512"
michelle obama,,"4,482"
austan goolsbee,,"4,475"
malcolm nance,,"4,468"
kelly wright,FOXNEWS,"4,467"
john barrasso,,"4,450"
anna kooiman,FOXNEWS,"4,394"
chris murphy,,"4,389"
rick wilson,,"4,387"
michael eric dyson,,"4,320"
james clapper,,"4,318"
richard n haass,,"4,301"
richard wolffe,,"4,269"
dick morris,,"4,257"
richard a fowler,,"4,229"
allen west,,"4,225"
david ignatius,,"4,216"
john vause,CNN,"4,215"
john dean,,"4,184"
sebastian gorka,,"4,173"
touré,,"4,155"
john kirby,,"4,148"
eric cantor,,"4,136"
david frum,,"4,121"
michael isikoff,,"4,095"
robert gibbs,,"4,079"
james rosen,,"4,063"
donny deutsch,MSNBC,"4,059"
steve scalise,,"4,044"
robert baer,,"4,042"
jim clyburn,,"4,040"
jared kushner,,"4,036"
dianne feinstein,,"4,029"
dagen mcdowell,FOXNEWS,"4,027"
errol barnett,CNN,"4,001"
ben wedeman,CNN,"3,988"
james carville,,"3,978"
alan colmes,FOXNEWS,"3,968"
isha sesay,,"3,961"
w kamau bell,CNN,"3,961"
guy benson,FOXNEWS,"3,955"
jack kingston,,"3,950"
dzhokhar a tsarnaev,,"3,938"
melania trump,,"3,920"
jason a johnson,,"3,919"
ken cuccinelli,,"3,908"
dana loesch,,"3,847"
mark omara,,"3,847"
steny hoyer,,"3,845"
steven mnuchin,,"3,842"
joe trippi,,"3,831"
anthony weiner,,"3,811"
joe manchin,,"3,771"
jennifer rubin,,"3,758"
michelle malkin,,"3,749"
daniel henninger,FOXNEWS,"3,740"
michael mcfaul,,"3,729"
jennifer griffin,FOXNEWS,"3,718"
tom steyer,,"3,709"
bob corker,,"3,705"
haley barbour,,"3,695"
leon panetta,,"3,692"
sunny hostin,,"3,669"
donald trump jr,,"3,667"
mike baker,,"3,647"
stephen k bannon,,"3,643"
marie harf,,"3,638"
susan page,,"3,636"
rex w tillerson,,"3,606"
debbie wasserman schultz,,"3,577"
mark meadows,,"3,563"
ralph peters,,"3,532"
bob menendez,,"3,530"
michael moore,,"3,524"
kirsten gillibrand,,"3,516"
erick erickson,,"3,502"
corey lewandowski,,"3,499"
brodus clay,,"3,484"
charlie sykes,,"3,476"
michelle kosinski,CNN,"3,446"
ron johnson,,"3,445"
jonathan nolan,,"3,434"
robert reich,,"3,430"
michael hayden,,"3,429"
matt gaetz,,"3,427"
frances townsend,,"3,424"
dana milbank,,"3,417"
steven rattner,,"3,413"
sherrod brown,,"3,412"
hugh hewitt,,"3,405"
keith morrison,,"3,399"
raymond arroyo,FOXNEWS,"3,386"
amanda carpenter,,"3,341"
jeffrey goldberg,,"3,334"
susan rice,,"3,333"
gordon g chang,,"3,303"
hakeem jeffries,,"3,303"
kyung lah,CNN,"3,288"
mike lee,,"3,285"
ed rollins,FOXNEWS,"3,279"
susan collins,,"3,267"
john cornyn,,"3,262"
david asman,FOXNEWS,"3,260"
kate snow,MSNBC,"3,259"
mollie hemingway,,"3,247"
frank luntz,,"3,242"
maxine waters,,"3,237"
neera tanden,,"3,231"
judith miller,FOXNEWS,"3,226"
charlie dent,,"3,217"
vadim gluzman,,"3,207"
kiran chetry,CNN,"3,203"
kevin corke,FOXNEWS,"3,198"
bob woodward,,"3,194"
eddie glaude,,"3,166"
mark warner,,"3,163"
katrina pierson,,"3,160"
ronald reagan,,"3,155"
mercedes schlapp,,"3,152"
david cay johnston,,"3,143"
arwa damon,CNN,"3,140"
john garamendi,,"3,120"
elizabeth cohen,CNN,"3,111"
charles m blow,,"3,109"
scott brown,,"3,103"
katty kay,,"3,098"
tom price,,"3,098"
lori greiner,,"3,096"
ron desantis,,"3,094"
ben cardin,,"3,092"
edward snowden,,"3,091"
jvee casio,,"3,081"
jennifer granholm,,"3,077"
rich lowry,FOXNEWS,"3,077"
roger stone,,"3,076"
lou dobbs,CNN,"3,074"
max boot,,"3,070"
john f kelly,,"3,069"
jon stewart,,"3,054"
beto orourke,,"3,047"
