contributor.cfscore,cycle,district,dwnom1,icpsr,dime_name,party,recipient.cfscore,seat,state,congress,chamber,vv_name,nominate_dim1,nominate_log_likelihood,nominate_geo_mean_probability,nokken_poole_dim1,sctv_name,minutes
,2006.0,,,CA27542,"huffington, arianna",,-1.213,state:other,CA,,,,,,,,arianna huffington,"1,131"
1.232,2006.0,,,GA38441,"reed, ralph",R,1.212,state:governor,GA,,,,,,,,ralph reed,910
1.463,2006.0,,,H4OH01026,"blackwell, j kenneth & raga, thomas",R,0.956,state:governor,OH,,,,,,,,ken blackwell,649
,2006.0,,,MD60913,"perez, tom",D,-1.206,state:office,MD,,,,,,,,tom perez,"2,452"
,2006.0,,,NY19490,"spitzer, eliot l (g)",D,-0.7490000000000001,state:governor,NY,,,,,,,,eliot spitzer,"4,736"
,2006.0,,,VT122740,"wolffe, bob",R,1.986,state:lower,VT,,,,,,,,richard wolffe,"4,269"
,2008.0,IL05,-0.374,20323,"emanuel, rahm israel",D,-0.745,federal:house,IL,110.0,House,"EMANUEL, Rahm",-0.37200000000000005,-75.97211999999999,0.945,-0.358,rahm emanuel,"2,070"
,2008.0,IL18,0.25,29517,"lahood, ray",R,0.611,federal:house,IL,110.0,House,"LaHOOD, Ray H.",0.24600000000000002,-360.75535,0.731,0.22399999999999998,ray lahood,611
-0.605,2008.0,,-0.319,29716,"blagojevich, rod r (g)",D,-0.7659999999999999,state:governor,IL,107.0,House,"BLAGOJEVICH, Rod R.",-0.317,-136.59041000000002,0.7829999999999999,-0.305,rod blagojevich,"1,036"
1.131,2008.0,TNS06,-0.358,29756,"ford, harold e jr",D,-0.5489999999999999,federal:senate,TN,109.0,House,"FORD, Harold, Jr.",-0.359,-265.77201,0.71,-0.315,harold ford jr,"2,898"
,2008.0,NES08,0.342,49704,"hagel, charles t",R,0.735,federal:senate,NE,110.0,Senate,"HAGEL, Charles Timothy (Chuck)",0.344,-253.94082000000003,0.607,0.308,chuck hagel,"2,661"
