contributor.cfscore,cycle,district,dwnom1,icpsr,dime_name,party,recipient.cfscore,seat,state,congress,chamber,vv_name,nominate_dim1,nominate_log_likelihood,nominate_geo_mean_probability,nokken_poole_dim1,sctv_name,minutes
-1.1320000000000001,2014.0,,,S2CA00088,"brown, edmund",D,-0.867,state:governor,CA,,,,,,,,jerry brown,"1,107"
0.9990000000000001,2014.0,VAS14,,S4VA00155,"gillespie, edward w",,1.1340000000000001,federal:senate,VA,,,,,,,,ed gillespie,907
1.3769999999999998,2014.0,,,TX11001,"abbott, greg",,1.169,state:governor,TX,,,,,,,,greg abbott,"2,214"
,2014.0,,,TX413661,"berger, rebecca",R,1.693,state:office,TX,,,,,,,,rebecca berg,"1,431"
,2014.0,8,,TX7033,"paxton, w kenneth",R,1.24,state:upper,TX,,,,,,,,ken paxton,690
,2014.0,,,VA_CC-13-00001,"northam,  ralph shearer ",,-0.998,state:governor,VA,,,,,,,,ralph northam,"1,248"
,2014.0,nyc6,,nyc326,"de blasio, bill ",I,-0.9590000000000001,nyc:city,NY,,,,,,,,bill de blasio,"4,657"
-0.609,2016.0,NY13,-0.514,13035,"rangel, charles b.",D,-0.597,federal:house,NY,114.0,House,"RANGEL, Charles B.",-0.514,-100.02235,0.9109999999999999,-0.498,charles rangel,"2,178"
,2016.0,IAS16,0.342,14226,"grassley, charles e",R,0.807,federal:senate,IA,116.0,Senate,"GRASSLEY, Charles Ernest",0.34600000000000003,-60.161190000000005,0.8942,0.505,chuck grassley,"2,721"
-0.802,2016.0,VTS16,-0.374,14307,"leahy, patrick j.",D,-0.877,federal:senate,VT,116.0,Senate,"LEAHY, Patrick Joseph",-0.361,-98.65701,0.8262799999999999,-0.28,patrick leahy,"1,931"
1.014,2016.0,INS16,0.375,14806,"coats, daniel r",R,1.078,federal:senate,IN,114.0,Senate,"COATS, Daniel Ray",0.375,-111.40278,0.763,0.537,dan coats,"1,558"
-0.8170000000000001,2016.0,NYS16,-0.35,14858,"schumer, charles",D,-0.607,federal:senate,NY,116.0,Senate,"SCHUMER, Charles Ellis (Chuck)",-0.358,-87.94884,0.84919,-0.41200000000000003,chuck schumer,"8,613"
-1.247,2016.0,ORS16,-0.317,14871,"wyden, ronald lee",D,-0.5720000000000001,federal:senate,OR,116.0,Senate,"WYDEN, Ronald Lee",-0.32799999999999996,-108.00487,0.81533,-0.371,ron wyden,"1,519"
-1.024,2016.0,CAS16,-0.45,15011,"boxer, barbara",D,-1.238,federal:senate,CA,114.0,Senate,"BOXER, Barbara",-0.45,-46.4471,0.8809999999999999,-0.485,barbara boxer,"1,642"
0.841,2016.0,AZS16,0.381,15039,"mccain, john s.",R,0.73,federal:senate,AZ,115.0,Senate,"McCAIN, John Sidney, III",0.381,-41.58471,0.85272,0.39399999999999996,john mccain,"16,035"
-0.8540000000000001,2016.0,NVS16,-0.276,15054,"reid, harry mason",D,-0.603,federal:senate,NV,114.0,Senate,"REID, Harry",-0.276,-68.81173000000001,0.828,-0.502,harry reid,"4,718"
-0.919,2016.0,WA07,-0.6659999999999999,15613,"mcdermott, james adelbert",D,-1.069,federal:house,WA,114.0,House,"McDERMOTT, James A.",-0.6659999999999999,-108.50771,0.905,-0.49200000000000005,jim mcdermott,956
-0.6779999999999999,2016.0,NY03,-0.33399999999999996,20129,"israel, steve",D,-0.634,federal:house,NY,114.0,House,"ISRAEL, Steve",-0.33399999999999996,-92.75235,0.919,-0.39399999999999996,steve israel,"1,863"
-1.008,2016.0,MD08,-0.391,20330,"van hollen, chris",D,-1.101,federal:house,MD,116.0,Senate,"VAN HOLLEN, Christopher",-0.39,-84.29301,0.8547299999999999,-0.37200000000000005,chris van hollen,"5,131"
-1.308,2016.0,PAS16,-0.271,20744,"sestak, joseph a jr.",D,-1.26,federal:senate,PA,111.0,House,"SESTAK, Joe",-0.271,-118.87953999999999,0.877,-0.273,joe sestak,"1,178"
-1.382,2016.0,MD04,-0.562,20763,"edwards, donna fern",D,-1.3880000000000001,federal:house,MD,114.0,House,"EDWARDS, Donna F.",-0.562,-71.33447,0.937,-0.474,donna edwards,"2,465"
1.1540000000000001,2016.0,IL18,0.311,20914,"schock, aaron jon mr.",R,0.922,federal:house,IL,114.0,House,"SCHOCK, Aaron",0.311,-15.2141,0.871,0.33899999999999997,aaron schock,739
1.199,2016.0,OKS16,0.569,21166,"lankford, james paul mr",R,1.162,federal:senate,OK,116.0,Senate,"LANKFORD, James",0.589,-30.849090000000004,0.94427,0.6940000000000001,james lankford,"1,855"
0.992,2016.0,SCS16,0.66,21173,"scott, timothy e",R,0.9690000000000001,federal:senate,SC,116.0,Senate,"SCOTT, Tim",0.637,-39.40985,0.9286,0.5589999999999999,tim scott,"2,534"
-0.905,2016.0,FL18,-0.18600000000000003,21319,"murphy, patrick e",D,-0.9670000000000001,federal:house,FL,114.0,House,"MURPHY, Patrick",-0.18600000000000003,-209.56091,0.8240000000000001,-0.244,patrick murphy,"1,145"
0.222,2016.0,FL13,0.23,21401,"jolly, david w.",R,0.813,federal:house,FL,114.0,House,"JOLLY, David W.",0.23,-228.78436000000002,0.807,0.23,david jolly,"2,404"
,2016.0,OH08,0.513,29137,"boehner, john andrew",R,0.981,federal:house,OH,114.0,House,"BOEHNER, John Andrew",0.513,-6.4221,0.7809999999999999,0.149,john boehner,"14,589"
,2016.0,FL07,0.45299999999999996,29331,"mica, john l",R,0.693,federal:house,FL,114.0,House,"MICA, John L.",0.45299999999999996,-113.52337,0.904,0.44299999999999995,john mica,836
,2016.0,OHS16,0.375,29386,"portman, rob",R,0.909,federal:senate,OH,116.0,Senate,"PORTMAN, Robert Jones (Rob)",0.373,-25.98645,0.9526700000000001,0.305,rob portman,"2,079"
-1.03,2016.0,CA46,-0.36700000000000005,29709,"sanchez, loretta",D,-0.818,federal:house,CA,114.0,House,"SANCHEZ, Loretta",-0.36700000000000005,-108.19825,0.879,-0.36,loretta sanchez,871
,2016.0,MOS16,0.43,29735,"blunt, roy",R,0.9229999999999999,federal:senate,MO,116.0,Senate,"BLUNT, Roy",0.426,-30.515420000000002,0.94425,0.341,roy blunt,"1,544"
-1.073,2016.0,OHS16,-0.384,29747,"strickland, ted",D,-0.807,federal:senate,OH,109.0,House,"STRICKLAND, Ted",-0.384,-144.02661,0.8170000000000001,-0.396,ted strickland,749
1.127,2016.0,SDS16,0.409,29754,"thune, john",R,1.133,federal:senate,SD,116.0,Senate,"THUNE, John",0.41,-21.72634,0.9602799999999999,0.38,john thune,"2,774"
1.136,2016.0,PAS16,0.63,29935,"toomey, patrick joseph",R,1.018,federal:senate,PA,116.0,Senate,"TOOMEY, Patrick Joseph",0.648,-49.6677,0.9077200000000001,0.737,pat toomey,"1,578"
,2016.0,SCS16,0.7,29936,"demint, james warren",R,1.126,federal:senate,SC,112.0,Senate,"DeMINT, James W.",0.7,-83.44081,0.7979999999999999,0.9079999999999999,jim demint,"1,762"
0.899,2016.0,AKS16,0.20800000000000002,40300,"murkowski, lisa",R,0.601,federal:senate,AK,116.0,Senate,"MURKOWSKI, Lisa",0.21100000000000002,-41.37502,0.9202799999999999,0.294,lisa murkowski,"1,416"
-1.064,2016.0,CTS16,-0.415,41101,"blumenthal, richard",D,-1.015,federal:senate,CT,116.0,Senate,"BLUMENTHAL, Richard",-0.431,-77.35338,0.8653799999999999,-0.447,richard blumenthal,"5,914"
0.884,2016.0,FLS16,0.586,41102,"rubio, marco",R,1.087,federal:senate,FL,116.0,Senate,"RUBIO, Marco",0.568,-44.88127,0.9171600000000001,0.52,marco rubio,"14,368"
,2016.0,KYS16,0.875,41104,"paul, rand",R,1.278,federal:senate,KY,116.0,Senate,"PAUL, Rand",0.879,-141.81454,0.75133,0.887,rand paul,"13,906"
,2016.0,NHS16,0.35100000000000003,41106,"ayotte, kelly a",R,0.903,federal:senate,NH,114.0,Senate,"AYOTTE, Kelly",0.35100000000000003,-126.06028,0.7390000000000001,0.276,kelly ayotte,"1,653"
,2016.0,NDS16,0.34,41107,"hoeven, john",R,1.187,federal:senate,ND,116.0,Senate,"HOEVEN, John",0.342,-19.20852,0.9642700000000001,0.353,john hoeven,603
1.055,2016.0,UTS16,0.919,41110,"lee, mike",R,1.069,federal:senate,UT,116.0,Senate,"LEE, Mike",0.9159999999999999,-102.06489,0.8245299999999999,0.902,mike lee,"3,285"
-1.101,2016.0,CAS16,-0.688,41701,"harris, kamala d",D,-1.3419999999999999,federal:senate,CA,116.0,Senate,"HARRIS, Kamala Devi",-0.7090000000000001,-26.953570000000003,0.91435,-0.722,kamala harris,"8,881"
0.946,2016.0,LAS16,0.44799999999999995,41703,"kennedy, john neely",R,0.851,federal:senate,LA,116.0,Senate,"KENNEDY, John Neely",0.5920000000000001,-62.49637,0.88797,0.6809999999999999,john neely kennedy,"2,417"
-0.968,2016.0,WAS16,-0.341,49308,"murray, patty",D,-1.1179999999999999,federal:senate,WA,116.0,Senate,"MURRAY, Patty",-0.35100000000000003,-75.2279,0.86335,-0.40700000000000003,patty murray,"1,372"
1.072,2016.0,AZ01,,H2AZ04127,"babeu, paul raymond",R,1.193,federal:house,AZ,,,,,,,,paul babeu,"1,123"
,2016.0,FL19,,H6FL19095,"bongino, daniel j",R,1.4080000000000001,federal:house,FL,,,,,,,,dan bongino,"8,167"
,2016.0,MI10,,H6MI10185,"flynn, michael",R,0.589,federal:house,MI,,,,,,,,michael t flynn,"6,430"
1.192,2018.0,UTS18,0.382,14503,"hatch, orrin g",R,0.595,federal:senate,UT,115.0,Senate,"HATCH, Orrin Grant",0.382,-29.34808,0.9450200000000001,0.35600000000000004,orrin hatch,"2,317"
-0.684,2018.0,FLS18,-0.19399999999999998,14651,"nelson, bill",D,-0.75,federal:senate,FL,115.0,Senate,"NELSON, Clarence William (Bill)",-0.193,-61.434259999999995,0.8814799999999999,-0.193,bill nelson,"1,254"
-0.7340000000000001,2018.0,MD05,-0.379,14873,"hoyer, steny",D,-0.546,federal:house,MD,116.0,House,"HOYER, Steny Hamilton",-0.38,-15.891470000000002,0.9789200000000001,-0.379,steny hoyer,"3,845"
-0.775,2018.0,MDS18,-0.32799999999999996,15408,"cardin, benjamin l",D,-0.8170000000000001,federal:senate,MD,116.0,Senate,"CARDIN, Benjamin Louis",-0.321,-86.01597,0.85019,-0.27899999999999997,ben cardin,"3,092"
-0.7979999999999999,2018.0,GA05,-0.589,15431,"lewis, john r.",D,-0.9990000000000001,federal:house,GA,116.0,House,"LEWIS, John R.",-0.589,-11.005360000000001,0.9825200000000001,-0.449,john lewis,"2,210"
-0.863,2018.0,CA12,-0.49200000000000005,15448,"pelosi, nancy",D,-1.129,federal:house,CA,116.0,House,"PELOSI, Nancy",-0.49,-0.6039,0.99015,-0.42700000000000005,nancy pelosi,"19,776"
-0.867,2018.0,NJ06,-0.401,15454,"pallone, frank jr",D,-0.513,federal:house,NJ,116.0,House,"PALLONE, Frank, Jr.",-0.40399999999999997,-16.04552,0.97911,-0.413,frank pallone,620
-0.7709999999999999,2018.0,NY16,-0.408,15603,"engel, eliot l.",D,-0.391,federal:house,NY,116.0,House,"ENGEL, Eliot Lance",-0.408,-21.45617,0.97191,-0.462,eliot engel,"1,551"
,2018.0,FL27,0.245,15634,"ros lehtinen, ileana the hon.",R,0.358,federal:house,FL,115.0,House,"ROS-LEHTINEN, Ileana",0.244,-208.93536,0.77531,0.213,ileana ros-lehtinen,634
1.018,2018.0,AZS18,0.855,20100,"flake, jeffry lane",R,1.071,federal:senate,AZ,115.0,Senate,"FLAKE, Jeff",0.855,-62.93724,0.87639,0.853,jeff flake,"2,960"
-1.3659999999999999,2018.0,CA28,-0.34700000000000003,20104,"schiff, adam",D,-1.113,federal:house,CA,116.0,House,"SCHIFF, Adam",-0.349,-14.280129999999998,0.98134,-0.425,adam schiff,"17,625"
0.961,2018.0,CA49,0.505,20107,"issa, darrell e",R,0.9790000000000001,federal:house,CA,115.0,House,"ISSA, Darrell",0.506,-97.21240999999999,0.89836,0.451,darrell issa,"5,653"
1.305,2018.0,AZ08,0.7490000000000001,20304,"franks, trent",R,1.12,federal:house,AZ,115.0,House,"FRANKS, Trent",0.7490000000000001,-45.672470000000004,0.91933,0.621,trent franks,904
-0.6990000000000001,2018.0,AZ03,-0.598,20305,"grijalva, raul m",D,-0.915,federal:house,AZ,116.0,House,"GRIJALVA, Raúl M.",-0.599,-21.28354,0.97083,-0.581,raúl grijalva,895
1.197,2018.0,CA22,0.449,20307,"nunes, devin g",R,1.083,federal:house,CA,116.0,House,"NUNES, Devin",0.45,-74.87527,0.90559,0.461,devin nunes,"5,886"
1.24,2018.0,IA04,0.617,20325,"king, steve mr.",R,1.335,federal:house,IA,116.0,House,"KING, Steve",0.612,-180.7294,0.77527,0.579,steve king,"2,568"
0.46799999999999997,2018.0,OH10,0.267,20342,"turner, michael r",R,0.83,federal:house,OH,116.0,House,"TURNER, Michael R.",0.271,-101.20288000000001,0.87346,0.302,mike turner,990
-0.816,2018.0,OH13,-0.402,20343,"ryan, timothy j.",D,-0.588,federal:house,OH,116.0,House,"RYAN, Timothy J.",-0.40299999999999997,-19.23209,0.96886,-0.35600000000000004,tim ryan,"2,619"
1.061,2018.0,OK04,0.335,20344,"cole, tom",R,0.853,federal:house,OK,116.0,House,"COLE, Tom",0.331,-115.63058000000001,0.8585200000000001,0.29600000000000004,tom cole,"1,498"
1.244,2018.0,TX05,0.703,20352,"hensarling, jeb hon.",R,1.1059999999999999,federal:house,TX,115.0,House,"HENSARLING, Jeb",0.703,-68.08408,0.93035,0.645,jeb hensarling,915
1.49,2018.0,TX26,0.57,20355,"burgess, michael clifton",R,1.0759999999999998,federal:house,TX,116.0,House,"BURGESS, Michael C.",0.5760000000000001,-139.86584,0.8296600000000001,0.617,michael c burgess,"1,240"
-0.49,2018.0,FL23,-0.425,20504,"schultz, debbie wasserman",D,-0.79,federal:house,FL,116.0,House,"WASSERMAN SCHULTZ, Debbie",-0.42100000000000004,-25.01195,0.96672,-0.359,debbie wasserman schultz,"3,577"
1.205,2018.0,GA06,0.644,20505,"price, thomas edmunds",R,1.074,federal:house,GA,115.0,House,"PRICE, Tom",0.644,-0.02153,0.98929,0.23600000000000002,tom price,"3,098"
-1.0270000000000001,2018.0,MO05,-0.452,20517,"cleaver, emanuel ii",D,-0.728,federal:house,MO,116.0,House,"CLEAVER, Emanuel, II",-0.45399999999999996,-28.754490000000004,0.96106,-0.531,emanuel cleaver,"1,413"
,2018.0,TX01,0.597,20527,"gohmert, louis b. mr. jr.",R,1.3419999999999999,federal:house,TX,116.0,House,"GOHMERT, Louie",0.625,-137.64398,0.81868,0.705,louie gohmert,"2,355"
-0.721,2018.0,TX09,-0.433,20529,"green, alexander",D,-0.45399999999999996,federal:house,TX,116.0,House,"GREEN, Al",-0.43799999999999994,-29.1233,0.96221,-0.42700000000000005,al green,793
1.1159999999999999,2018.0,TX10,0.45,20530,"mccaul, michael",R,1.077,federal:house,TX,116.0,House,"McCAUL, Michael T.",0.434,-140.00892,0.8307399999999999,0.332,michael mccaul,"2,204"
-0.22899999999999998,2018.0,TX28,-0.226,20533,"cuellar, roberto enrique",D,0.39799999999999996,federal:house,TX,116.0,House,"CUELLAR, Henry",-0.228,-132.54706000000002,0.8393799999999999,-0.348,henry cuellar,940
1.011,2018.0,WA05,0.43,20535,"mcmorris rodgers, cathy",R,0.935,federal:house,WA,116.0,House,"McMORRIS RODGERS, Cathy",0.426,-118.31948,0.8518700000000001,0.41200000000000003,cathy mcmorris rodgers,"1,232"
0.873,2018.0,CA23,0.462,20703,"mccarthy, kevin",R,0.799,federal:house,CA,116.0,House,"MCCARTHY, Kevin",0.45899999999999996,-90.46819,0.88594,0.428,kevin mccarthy,"6,604"
-1.163,2018.0,HIS18,-0.49,20713,"hirono, mazie k",D,-1.157,federal:senate,HI,116.0,Senate,"HIRONO, Mazie",-0.51,-70.95754000000001,0.8726700000000001,-0.57,mazie hirono,"2,326"
-0.9440000000000001,2018.0,KY03,-0.379,20723,"yarmuth, john a mr",D,-0.733,federal:house,KY,116.0,House,"YARMUTH, John",-0.379,-19.6099,0.97426,-0.44,john yarmuth,"1,156"
-1.537,2018.0,MN05,-0.5429999999999999,20727,"ellison, keith maurice",D,-1.268,federal:house,MN,115.0,House,"ELLISON, Keith",-0.537,-70.82184000000001,0.9168700000000001,-0.551,keith ellison,"2,715"
,2018.0,NVS18,0.46399999999999997,20730,"heller, dean",R,0.866,federal:senate,NV,115.0,Senate,"HELLER, Dean",0.46299999999999997,-94.72531,0.82773,0.48100000000000004,dean heller,673
-0.9690000000000001,2018.0,NYS18,-0.382,20735,"gillibrand, kirsten elizabeth",D,-1.133,federal:senate,NY,116.0,Senate,"GILLIBRAND, Kirsten",-0.474,-79.05728,0.8341700000000001,-0.754,kirsten gillibrand,"3,516"
1.308,2018.0,OH04,0.706,20738,"jordan, james d.",R,1.212,federal:house,OH,116.0,House,"JORDAN, Jim",0.718,-90.28921,0.88644,0.764,jim jordan,"5,226"
-0.5920000000000001,2018.0,TN09,-0.402,20748,"cohen, stephen ira",D,-0.294,federal:house,TN,116.0,House,"COHEN, Stephen",-0.4,-25.52158,0.9663700000000001,-0.39899999999999997,steve cohen,"2,261"
-1.304,2018.0,VT01,-0.409,20750,"welch, peter",D,-1.159,federal:house,VT,116.0,House,"WELCH, Peter",-0.409,-19.37773,0.9740200000000001,-0.515,peter welch,"1,510"
-0.616,2018.0,IN07,-0.429,20757,"carson, andre",D,-0.8490000000000001,federal:house,IN,116.0,House,"CARSON, André",-0.431,-39.67819,0.9488,-0.551,andré carson,946
,2018.0,LA01,0.5589999999999999,20759,"scalise, steve mr",R,0.977,federal:house,LA,116.0,House,"SCALISE, Steve",0.564,-74.19678,0.9059299999999999,0.584,steve scalise,"4,044"
,2018.0,CA14,-0.384,20762,"speier, jackie",D,-1.031,federal:house,CA,116.0,House,"SPEIER, Karen Lorraine Jacqueline (Jackie)",-0.38,-40.59042,0.9454100000000001,-0.307,jackie speier,"2,684"
0.971,2018.0,CA04,0.7440000000000001,20903,"mcclintock, thomas",R,1.215,federal:house,CA,116.0,House,"McCLINTOCK, Tom",0.72,-164.83281000000002,0.8008,0.645,tom mcclintock,769
-1.244,2018.0,CO02,-0.28,20904,"polis, jared",D,-1.028,federal:house,CO,115.0,House,"POLIS, Jared",-0.278,-126.08868999999999,0.8619899999999999,-0.27,jared polis,679
1.193,2018.0,CO06,0.498,20906,"coffman, mike rep.",R,1.158,federal:house,CO,115.0,House,"COFFMAN, Mike",0.49200000000000005,-156.11568,0.8489,0.424,mike coffman,635
-1.123,2018.0,CT04,-0.24100000000000002,20907,"himes, jim",D,-1.052,federal:house,CT,116.0,House,"HIMES, James A.",-0.242,-41.03841,0.94668,-0.314,jim himes,"2,691"
-1.167,2018.0,FL11,-0.363,20908,"grayson, alan mark",D,-1.504,federal:house,FL,114.0,House,"GRAYSON, Alan",-0.363,-179.64887,0.8490000000000001,-0.33299999999999996,alan grayson,977
0.963,2018.0,UT03,0.647,20949,"chaffetz, jason",R,0.8320000000000001,federal:house,UT,115.0,House,"CHAFFETZ, Jason",0.647,-10.593110000000001,0.95867,0.41700000000000004,jason chaffetz,"11,387"
-1.147,2018.0,VA11,-0.305,20952,"connolly, gerry",D,-0.902,federal:house,VA,116.0,House,"CONNOLLY, Gerald E. (Gerry)",-0.306,-49.911429999999996,0.93595,-0.24100000000000002,gerry connolly,"1,505"
-1.011,2018.0,IL05,-0.317,20954,"quigley, mike",D,-0.946,federal:house,IL,116.0,House,"QUIGLEY, Mike",-0.321,-18.79214,0.97519,-0.382,mike quigley,752
-1.058,2018.0,CA03,-0.313,20958,"garamendi, john",D,-0.8959999999999999,federal:house,CA,116.0,House,"GARAMENDI, John",-0.309,-30.73555,0.9596399999999999,-0.297,john garamendi,"3,120"
-0.648,2018.0,FL22,-0.40299999999999997,20959,"deutch, theodore eliot",D,-0.45899999999999996,federal:house,FL,116.0,House,"DEUTCH, Theodore E. (Ted)",-0.4,-17.721529999999998,0.9763700000000001,-0.39899999999999997,ted deutch,940
0.955,2018.0,CA50,0.513,20963,"hunter, duncan d.",R,0.84,federal:house,CA,116.0,House,"HUNTER, Duncan Duane",0.539,-124.54558,0.7973600000000001,0.637,duncan d hunter,922
0.252,2018.0,NY23,0.298,21101,"reed, thomas w ii",R,0.63,federal:house,NY,116.0,House,"REED, Thomas W. II",0.278,-151.71436,0.8144100000000001,0.23399999999999999,tom reed,990
-1.263,2018.0,CA37,-0.575,21110,"bass, karen",D,-1.097,federal:house,CA,116.0,House,"BASS, Karen",-0.585,-15.99135,0.978,-0.573,karen bass,"2,243"
0.9059999999999999,2018.0,FL15,0.534,21117,"ross, dennis alan",R,0.8170000000000001,federal:house,FL,115.0,House,"ROSS, Dennis",0.531,-52.026920000000004,0.93994,0.47200000000000003,dennis ross,691
1.298,2018.0,ID01,0.728,21125,"labrador, raul r. hon.",R,1.213,federal:house,ID,115.0,House,"LABRADOR, Raúl R.",0.735,-121.02518,0.8624700000000001,1.0,raúl labrador,669
1.288,2018.0,KS04,0.66,21136,"pompeo, michael r",R,1.2890000000000001,federal:house,KS,115.0,House,"POMPEO, Mike",0.66,-5e-05,0.99995,0.5720000000000001,mike pompeo,"7,485"
,2018.0,LA02,-0.473,21137,"richmond, cedric l.",D,-0.379,federal:house,LA,116.0,House,"RICHMOND, Cedric",-0.486,-40.11294,0.94529,-0.662,cedric richmond,"1,015"
1.375,2018.0,MI03,0.6579999999999999,21143,"amash, justin",R,1.3769999999999998,federal:house,MI,116.0,House,"AMASH, Justin",0.654,-172.05329,0.62734,0.919,justin amash,632
0.542,2018.0,NY11,0.21899999999999997,21154,"grimm, michael",R,0.501,federal:house,NY,113.0,House,"GRIMM, Michael G.",0.21899999999999997,-188.92828,0.821,0.198,michael grimm,971
1.089,2018.0,OH07,0.45899999999999996,21165,"gibbs, robert",R,1.001,federal:house,OH,116.0,House,"GIBBS, Bob",0.473,-77.10067,0.9002899999999999,0.503,robert gibbs,"4,079"
-1.2409999999999999,2018.0,RI01,-0.391,21172,"cicilline, david n",D,-1.0859999999999999,federal:house,RI,116.0,House,"CICILLINE, David N.",-0.39,-22.72844,0.9702700000000001,-0.423,david cicilline,"2,527"
1.112,2018.0,SC04,0.664,21175,"gowdy, trey",R,1.172,federal:house,SC,115.0,House,"GOWDY, Trey",0.655,-58.51558000000001,0.93732,0.5479999999999999,trey gowdy,"5,814"
1.032,2018.0,SC05,0.75,21176,"mulvaney, john michael  mick",R,1.147,federal:house,SC,115.0,House,"MULVANEY, Mick",0.75,-0.09233,0.9817,0.349,mick mulvaney,"2,384"
1.3969999999999998,2018.0,SD01,0.396,21177,"noem, kristi lynn",R,1.317,federal:house,SD,115.0,House,"NOEM, Kristi",0.39799999999999996,-85.73389,0.90395,0.469,kristi noem,825
1.2409999999999999,2018.0,TN06,0.581,21180,"black, diane l mrs.",R,1.05,federal:house,TN,115.0,House,"BLACK, Diane",0.58,-43.95387,0.94078,0.5720000000000001,diane black,604
1.354,2018.0,WI07,0.505,21189,"duffy, sean",R,1.249,federal:house,WI,116.0,House,"DUFFY, Sean",0.511,-100.93909000000001,0.79459,0.515,sean duffy,"2,384"
1.212,2018.0,AL05,0.599,21193,"brooks, mo",R,1.15,federal:house,AL,116.0,House,"BROOKS, Mo",0.648,-130.40157,0.8411799999999999,0.7759999999999999,mo brooks,"2,060"
-0.185,2018.0,CA15,-0.361,21306,"swalwell, eric michael",D,-1.003,federal:house,CA,116.0,House,"SWALWELL, Eric",-0.368,-21.01981,0.9641,-0.522,eric swalwell,"6,851"
1.138,2018.0,FL03,0.705,21317,"yoho, theodore scott",R,1.048,federal:house,FL,116.0,House,"YOHO, Ted",0.7040000000000001,-123.48523999999999,0.8359200000000001,0.7170000000000001,ted yoho,885
0.841,2018.0,FL06,0.664,21318,"desantis, ronald d.",R,1.19,federal:house,FL,115.0,House,"DeSANTIS, Ron",0.6629999999999999,-69.4445,0.9187,0.687,ron desantis,"3,094"
1.375,2018.0,GA09,0.637,21323,"collins, douglas allen",R,1.011,federal:house,GA,116.0,House,"COLLINS, Doug",0.611,-80.29397,0.8935,0.596,doug collins,"2,545"
-1.2,2018.0,HI02,-0.27899999999999997,21324,"gabbard, tulsi",D,-1.08,federal:house,HI,116.0,House,"GABBARD, Tulsi",-0.278,-20.85716,0.9571299999999999,-0.304,tulsi gabbard,"1,838"
-1.0859999999999999,2018.0,MD06,-0.275,21334,"delaney, john k",D,-0.706,federal:house,MD,115.0,House,"DELANEY, John",-0.276,-105.64891999999999,0.89294,-0.282,john delaney,"1,325"
-0.619,2018.0,NY08,-0.479,21343,"jeffries, hakeem",D,-0.943,federal:house,NY,116.0,House,"JEFFRIES, Hakeem",-0.488,-16.1025,0.97867,-0.49,hakeem jeffries,"3,303"
,2018.0,NY18,-0.386,21344,"maloney, sean patrick",D,-0.937,federal:house,NY,116.0,House,"MALONEY, Sean Patrick",-0.23800000000000002,-40.15794,0.9481299999999999,-0.309,sean patrick maloney,"1,172"
0.795,2018.0,NY27,0.366,21345,"collins, christopher c",R,0.727,federal:house,NY,116.0,House,"COLLINS, Chris",0.35700000000000004,-61.83374,0.87498,0.32799999999999996,chris collins,"1,736"
1.15,2018.0,NC11,0.626,21348,"meadows, mark r",R,1.136,federal:house,NC,116.0,House,"MEADOWS, Mark",0.605,-132.76565,0.81396,0.5870000000000001,mark meadows,"3,563"
0.9840000000000001,2018.0,OH02,0.5770000000000001,21351,"wenstrup, brad dr.",R,1.041,federal:house,OH,116.0,House,"WENSTRUP, Brad",0.552,-88.06300999999999,0.88766,0.51,brad wenstrup,662
-0.958,2018.0,OH03,-0.435,21352,"beatty, joyce",D,-0.436,federal:house,OH,116.0,House,"BEATTY, Joyce",-0.43,-15.360270000000002,0.97906,-0.473,joyce beatty,755
-0.446,2018.0,TX20,-0.39799999999999996,21362,"castro, joaquin",D,-0.445,federal:house,TX,116.0,House,"CASTRO, Joaquin",-0.39899999999999997,-32.117129999999996,0.9573,-0.609,joaquin castro,"2,547"
1.07,2018.0,UT02,0.521,21367,"stewart, chris",R,0.937,federal:house,UT,116.0,House,"STEWART, Chris",0.528,-83.98323,0.8935299999999999,0.536,chris stewart,"1,535"
-0.9940000000000001,2018.0,MI05,-0.401,21372,"kildee, daniel t.",D,-0.81,federal:house,MI,116.0,House,"KILDEE, Dan",-0.396,-15.00325,0.98045,-0.478,dan kildee,"1,637"
1.381,2018.0,AZ02,0.337,21501,"mcsally, martha",R,1.2790000000000001,federal:house,AZ,116.0,Senate,"McSALLY, Martha",0.345,-32.70022,0.9401700000000001,0.33799999999999997,martha mcsally,"1,108"
-1.0390000000000001,2018.0,AZ07,-0.45899999999999996,21502,"gallego, ruben",D,-0.8170000000000001,federal:house,AZ,116.0,House,"GALLEGO, Ruben",-0.449,-20.79637,0.9725799999999999,-0.428,ruben gallego,875
-1.123,2018.0,CA33,-0.358,21507,"lieu, ted",D,-0.8740000000000001,federal:house,CA,116.0,House,"LIEU, Ted",-0.371,-24.63585,0.9665,-0.595,ted lieu,"2,449"
1.2670000000000001,2018.0,CO04,0.735,21510,"buck, kenneth r",R,1.285,federal:house,CO,116.0,House,"BUCK, Kenneth Robert",0.7559999999999999,-101.90803000000001,0.8571200000000001,0.7390000000000001,ken buck,646
0.746,2018.0,FL26,0.207,21512,"curbelo, carlos mr.",R,0.6890000000000001,federal:house,FL,115.0,House,"CURBELO, Carlos",0.21100000000000002,-191.67738,0.80566,0.24,carlos curbelo,"1,031"
-1.197,2018.0,MA06,-0.307,21525,"moulton, seth",D,-1.032,federal:house,MA,116.0,House,"MOULTON, Seth",-0.28600000000000003,-70.84721,0.90036,-0.225,seth moulton,"1,354"
